direction,name,normal_speed,geometry,rainy_speed,speed_diff_percent
从关葛道路到光谷三路,高新大道,20.0,"LINESTRING (114.4975020398045 30.49183097950778, 114.49731834239535 30.49183992680932, 114.49205734687135 30.491965324410987, 114.48984394143672 30.491945307974483, 114.48910112576453 30.491912598875352, 114.48844965874245 30.491876365678188, 114.48804412525281 30.49183886762373, 114.48741575160737 30.491770316014023, 114.48661172056615 30.491647760194382, 114.48590004219545 30.491525482457707, 114.4848119558231 30.49131831870133, 114.48170334084293 30.490681748906262, 114.4800110528142 30.490419383418544, 114.4787925450691 30.490251894974293, 114.47799660931567 30.490165719983434, 114.47765234080353 30.490145633741033, 114.47520939449677 30.48996129606422)",25.0,23.809523809523807
从神墩一路西口到神墩一路东口,神墩一路,35.0,"LINESTRING (114.49223338507629 30.487599186734005, 114.50001490982383 30.487599591921672, 114.5079486098592 30.48755259274258, 114.51438809284458 30.48754068012077, 114.51561347673977 30.487530751243177, 114.5175192310239 30.487526595868815, 114.52177601395165 30.487515387600457, 114.52210513742178 30.487521974070653, 114.52260283206618 30.487517614136323, 114.52839804604689 30.487506083413184, 114.52879532641934 30.487503293389143, 114.53463554211152 30.487490932058193, 114.53539281694685 30.487488819060772, 114.53569170891531 30.48748951915047, 114.53813989309923 30.48744946173115, 114.54091676146756 30.48740792727805, 114.54139909696848 30.48739947241914, 114.5416668340951 30.4873961487715, 114.54168989774392 30.487392399277375, 114.54171998000322 30.4873962626702, 114.54205690198688 30.487400881399587, 114.5421110501041 30.48739709781636, 114.54508598113854 30.48741667300977, 114.54549905431836 30.487400310996875, 114.54580584714593 30.487381831169397, 114.54612667417358 30.487334883810497, 114.54644048155772 30.487255427949716, 114.54676130398254 30.48715688761341, 114.54707510517858 30.487046833007746, 114.54740394329846 30.48689311617261, 114.54776386075353 30.486657278205335, 114.5480846794444 30.48637767274844, 114.54836038039858 30.486124570065726, 114.55387470083546 30.480719087739413, 114.55461638202632 30.480018623173944, 114.55626001872817 30.47840813955987, 114.55758986529173 30.47710787804852, 114.55797267190988 30.47669467673379, 114.55825526271965 30.476389988431393, 114.55846971105217 30.47612718298456, 114.5586530938981 30.475887222914082, 114.55882845884975 30.475652947915563, 114.55950886939154 30.47463562531554, 114.55975437937103 30.474187902811963, 114.55991471119376 30.473890714458754, 114.56005199784201 30.47359339182029, 114.56030452706155 30.472993113925746, 114.56044982977046 30.47265201182381, 114.56052599340481 30.472407984902897, 114.56067931882546 30.47195442241642, 114.56083966672033 30.471373102426202, 114.56094691064757 30.470839294097356, 114.56102308199297 30.47047899582444, 114.56105415950864 30.470238802579985, 114.56107621726467 30.470034787121527, 114.56109226274717 30.469844159689497, 114.56113036812711 30.469422723624493, 114.5611534552349 30.46888509687208, 114.56116049659573 30.46854179661379, 114.56115350268857 30.46831114723028, 114.56113848922348 30.468137571699895, 114.56113048826258 30.467969704414894, 114.56107642963312 30.467466260389756, 114.56093223095624 30.46662707707307, 114.56086312643437 30.466333256388843, 114.56078700336097 30.466102409201465, 114.56054961875009 30.465369863419898, 114.56038935604467 30.46489295880165, 114.56029720193146 30.46464869032563, 114.56022908638563 30.464484635192456, 114.56019803186743 30.464431204477556, 114.56015996255451 30.46439495922734, 114.56012890525092 30.464373920067917, 114.56002270711033 30.464324180136927)",35.0,0.0
从神墩一路东口到神墩一路西口,神墩一路,35.0,"LINESTRING (114.56003773797062 30.464297508655402, 114.56010686710867 30.46432810021428, 114.56014493762189 30.46435104897926, 114.56018300806275 30.46437399768284, 114.56022107669538 30.464417940912206, 114.56025213117785 30.46447137159773, 114.5603282614952 30.46463923712855, 114.56041240018122 30.46488539358508, 114.5605806779219 30.46536040989955, 114.56082507525764 30.466092965241693, 114.56089318278045 30.466329499580624, 114.56095427229678 30.46662320897665, 114.56110748719989 30.467466303721, 114.56116054436278 30.4679640477695, 114.56119960289197 30.468130058752152, 114.5612146156829 30.468311232256713, 114.56121459661419 30.468541871875054, 114.56121456822986 30.468885181898475, 114.56119949568553 30.469426718832892, 114.56116038890721 30.46984425463893, 114.56114534486302 30.47004058201167, 114.56111527233857 30.470244586360483, 114.56107617974337 30.470488567495316, 114.56100802349307 30.47084887714756, 114.56089276511739 30.471380775002643, 114.56073241717863 30.471967793835656, 114.56059512227682 30.47242147933825, 114.56050292841194 30.472669282709905, 114.5603736563859 30.47301040798566, 114.56011311247673 30.47361447407794, 114.55996781094942 30.473911685528787, 114.5598074793857 30.474210873697654, 114.55955495651787 30.474658586500063, 114.55888256264473 30.475683520266912, 114.55870619602887 30.475919693643384, 114.55851579976532 30.476159643570305, 114.55830135207732 30.476420549930694, 114.55802577550719 30.476730947908194, 114.55763595568473 30.477144139251553, 114.55633617648151 30.47842545627797, 114.5561227122879 30.478634858451954, 114.5546614770385 30.4800529887027, 114.55392781494429 30.48075546757921, 114.54840649079138 30.48616084773088, 114.5481307900902 30.486417749818163, 114.54780195212209 30.48669744034927, 114.54744203496797 30.486936977780164, 114.54710617926638 30.48709647975619, 114.54678435789486 30.487210317909263, 114.54647055364536 30.48730887236789, 114.54613469025863 30.48738828476256, 114.54581286075532 30.487435330181174, 114.5455070703053 30.487457511061724, 114.54508597670264 30.487470058023295, 114.54261541618963 30.487455451084493, 114.54165178833861 30.48744950153295, 114.5381168220623 30.48750279458432, 114.53615006703657 30.487530676177386, 114.53582109003811 30.48753750796762, 114.53535469819414 30.487546013505128, 114.53500264320105 30.487541386058588, 114.529400261451 30.4875582066865, 114.52872710250736 30.487556505444807, 114.52839804110893 30.487565166820577, 114.52386609806199 30.487570572919932, 114.52241920282147 30.48757620434461, 114.52171480013722 30.487568607190916, 114.51561347193584 30.48758793518165, 114.50863714815354 30.487604190433423, 114.5000149053 30.487653076894215, 114.49815386296805 30.48765321255141, 114.49223338021432 30.48765647063837)",35.0,0.0
从高新大道到短咀里湖桥（武汉市边界）,关葛道路,55.0,"LINESTRING (114.49754821972859 30.491773934049718, 114.49855905123533 30.4917635626633, 114.50001456142735 30.491718326349368, 114.50092500048369 30.491700048506615, 114.50362114791386 30.491627987780138, 114.50473130633097 30.491598883341837, 114.5055051968276 30.491583973234643, 114.50578022300407 30.491571487812127, 114.50649287636936 30.491556390425597, 114.50727377716109 30.491531991012653, 114.50972482675193 30.491462867503753, 114.511202236025 30.491436654198075, 114.51341526946996 30.49138962214676, 114.51444096251855 30.491362050634166, 114.5146707877418 30.49134930641988, 114.51630963798031 30.491294847220594, 114.51655450682178 30.49129173528413, 114.51826955582798 30.49126032713559, 114.51918074281274 30.49123605290065, 114.52010696115502 30.491221500876843, 114.52044412840083 30.491205227262324, 114.5210712909217 30.491187840569197, 114.52535076717682 30.491081099672105, 114.52595577277867 30.491059787378877, 114.52745569582248 30.491033177387948, 114.52854322338192 30.490999666324008, 114.53123679516364 30.490943531485005, 114.531871781076 30.49092789799147, 114.53303538431389 30.49090023857962, 114.53417586610104 30.490920171214647, 114.53599732662 30.49099114374497, 114.53733626123228 30.491057215385272, 114.5392026254603 30.491225380366103, 114.54384637380706 30.49160335221627, 114.54442791167183 30.49160075021153, 114.54742661179301 30.491580036801736, 114.55043194717736 30.491358759875204, 114.55359022844587 30.49091056188919, 114.55662578212845 30.490490366487364, 114.55936231019543 30.490076856109695, 114.56308522929224 30.48956537477112, 114.56688356507858 30.48901889718482, 114.5683347889521 30.48881267329295, 114.57014640967915 30.488570531407372, 114.5741796281465 30.48798308166037, 114.57741819350473 30.48751834484751, 114.57780758402016 30.48746901945951, 114.57892966536218 30.487311476948825, 114.58370251144513 30.486669357535433, 114.58451103798065 30.48661627754406, 114.58525949406487 30.48657074659925, 114.58725155563558 30.486537015879154, 114.58815296555589 30.486537210839288, 114.58967155211626 30.486621333961942, 114.59159511312123 30.486821743414897, 114.5936704921645 30.4871497472073, 114.59500561349948 30.48741277103765, 114.59634863606742 30.487759592539575, 114.59850747355894 30.48838456285751, 114.60036114945453 30.488877875667175, 114.6020847026938 30.48923193639538, 114.60409000400641 30.48957803963479, 114.6055013982916 30.489781350763256, 114.60760632635305 30.489980354726434, 114.60948120326024 30.490068677891283, 114.61130395906602 30.49011501706466, 114.61327844337413 30.490145806148636, 114.61532168603928 30.49026796135785, 114.61744765943796 30.490483356863784, 114.61807303013833 30.490509418036332, 114.61943658853627 30.490729131986882, 114.62258398291846 30.491145088771063, 114.62498498000207 30.491393913432145, 114.62541941518528 30.49142006123349, 114.62656189835907 30.491471986466195, 114.62775027291093 30.49150281774459, 114.63206197114884 30.491597893622945)",55.0,0.0
从老武黄立交到青王路,珞喻东路,15.0,"LINESTRING (114.45279241885183 30.512833963706694, 114.45397908899287 30.512743253285887, 114.45442247185944 30.51271760413712, 114.45483576844659 30.512674794819777, 114.45554801690201 30.512592616666605, 114.45622918504907 30.512487385548386, 114.45697858867477 30.512359540897922, 114.45774406342142 30.512214657004783, 114.45841825851903 30.512082859570548, 114.4589770877223 30.511983177435372, 114.45958107199685 30.511914107673434, 114.45987202932915 30.511909139721553, 114.4602392377125 30.511942454777177, 114.4605151468969 30.511983239872205, 114.46132683464208 30.51209966799012, 114.4619699781585 30.512185189118625, 114.46268136968747 30.512196619884563, 114.46337873432884 30.512127851198137, 114.46411324519444 30.51198291501256, 114.46491701266754 30.51178099194669, 114.46523812246656 30.511705564271168, 114.46575190421655 30.51157726726166, 114.46585124913706 30.511556637965086, 114.46624161039094 30.511433716560937)",30.0,93.75
从佳园路到喻家湖路,珞喻东路,35.0,"LINESTRING (114.42603709672036 30.508208825149023, 114.41912081292602 30.508822501333405, 114.41835660027145 30.50888843298836)",30.0,-13.88888888888889
从森林大道到高新大道,光谷三路,15.0,"LINESTRING (114.46559038211484 30.51116506334101, 114.46546799222986 30.510790952111176, 114.46534560567106 30.510382551502005, 114.4652613462275 30.510025836396014, 114.46520017386767 30.50958140900591, 114.46518518011871 30.50890637341374, 114.46518518815145 30.5088129016616, 114.46521633330053 30.508368718144016, 114.46526954753783 30.508004668789237, 114.465453242663 30.507272975928142, 114.46562989506955 30.506766197164726, 114.4658205921872 30.506312840247308, 114.46605042508803 30.50586538655165, 114.46639466357496 30.50532866637434, 114.46721461089047 30.50421539875131, 114.46892179724269 30.501901312574834, 114.46902115804613 30.501781519162527, 114.46925099712625 30.50146174164096, 114.46944269733825 30.501201043201558, 114.47033095049171 30.500011733756168, 114.47082075981997 30.499258007162656, 114.47135673743394 30.498525406580804, 114.47210752649747 30.497391026608685, 114.4724287263062 30.49686757573761, 114.47276599169818 30.49627739076391, 114.47314141330959 30.495496669608666, 114.47344054403156 30.49491977687461, 114.4737085639877 30.49433889879192, 114.47392238260262 30.49382854837038, 114.47419041106176 30.493175192599406, 114.47451266085527 30.492253267780725, 114.47480379356541 30.491396037128634, 114.47503269134825 30.490649199001194, 114.47520939449677 30.48996129606422, 114.47527868358293 30.48953631329635)",15.0,0.0
从珞喻东路到友谊大道,青王路,40.0,"LINESTRING (114.4658582665273 30.511636732245748, 114.46596560900248 30.511970716382248, 114.46703000663159 30.51544190102545, 114.46710624603263 30.515749111262622, 114.46741223114209 30.516714736886776, 114.4674814475061 30.517012431363007, 114.46751956179152 30.517233665610803, 114.46754261987803 30.517496846158313, 114.46755063074754 30.517697105571223, 114.46755060405344 30.518007908857562, 114.46754255239978 30.518282501654244, 114.46751945140748 30.51851886566048, 114.46746623768914 30.518842821036248, 114.46738191685054 30.519149597836837, 114.46729759814373 30.519433481857334, 114.46714402746848 30.51984114078339, 114.46702157702566 30.520117224940623, 114.4667847175664 30.52052466098937, 114.466462556461 30.521011944639522, 114.46616448388741 30.52146880423719, 114.46573494941022 30.52204157919782, 114.4632622988198 30.52426596954341, 114.46288699386857 30.524672965601184, 114.46232803216034 30.525573433871227, 114.46050559994565 30.529633975013127, 114.45825479569369 30.534564841678936, 114.45743599077151 30.536402824351416, 114.45657910811137 30.537973818808073, 114.45591990778021 30.539165832621386, 114.45436678392052 30.541923015333353, 114.45066187865274 30.548649018966326, 114.45033284101616 30.549288864541786, 114.44991152998105 30.54997059420901, 114.4497660830951 30.55015710818277, 114.4490549128472 30.551026844796908, 114.44867175382998 30.55146645751036, 114.44516741272658 30.5554783547201, 114.44463187706364 30.556060756574244, 114.44433402330792 30.556437620367713, 114.44396597747705 30.55685443195669, 114.44379850448307 30.557031433688067, 114.44355281318694 30.557284553479953, 114.44283379609506 30.55811823513297, 114.44118927256378 30.559905415991043, 114.43921598036441 30.562203108404514, 114.43907059515347 30.562393474462187, 114.43899338782224 30.56253068460731, 114.43889411958355 30.562730632449608, 114.43879485093353 30.562940177217527, 114.43863441047544 30.56336133605023, 114.43850404407225 30.56381103986873, 114.43839673628729 30.56425888638191, 114.4383505941776 30.564565793624723, 114.43833552921129 30.56488035407484, 114.43834352838995 30.565120582569076, 114.43835052588867 30.565351312605095, 114.43845072205546 30.565982667112387, 114.43874836163943 30.5672320574322, 114.43940578204452 30.570058939233036, 114.43967336271089 30.571241504110596, 114.43975753592349 30.571729782464047, 114.43979559114605 30.572217975203376, 114.43976547576136 30.572658358615374, 114.43969625996169 30.573102468018977, 114.43959697212024 30.573493141331056, 114.43939038771029 30.57415431794013, 114.43859518281445 30.576379847465187, 114.43746207223707 30.579731678895552, 114.43668999053678 30.58194769956485, 114.43662882311325 30.582164912118916, 114.43646036698942 30.582715714184204, 114.43631496128172 30.583340828868685, 114.436039168838 30.58481989910603, 114.4356259881458 30.587032759208878, 114.43525893155046 30.58915993151358, 114.43511352492142 30.589884211420582, 114.43484577060595 30.59130991937419, 114.43477656926629 30.591757832672275, 114.4347314329611 30.592108623168418, 114.43457798742624 30.593103586709066, 114.43429513793522 30.59529387577536, 114.43424897984268 30.595879073512425, 114.43420279890732 30.59672746883931, 114.4341957108521 30.59755113718182, 114.43414950111357 30.598731201895326, 114.43401903104697 30.60066433298228, 114.43394981213694 30.60134295404267, 114.43388155569299 30.602481095655858, 114.43382737863524 30.60308157115184, 114.43378922746678 30.60380982196099, 114.43378219670007 30.603977544323296, 114.43380523146843 30.60418729879918, 114.43380522298904 30.604284560342332, 114.43378905159949 30.6058270232651, 114.4337589205908 30.606536192833527, 114.43363658235954 30.607193733412682, 114.43339196261181 30.607881665475535, 114.43247366817072 30.61037401195888, 114.43199949570587 30.611692643525434, 114.4315022805955 30.613037936724233, 114.43142609295032 30.61327232583057, 114.43137196101534 30.613424781789256, 114.4312807386255 30.613685837604976, 114.43123462473986 30.61383630679486, 114.43110429362413 30.614373792039032, 114.43097492852978 30.61533450758939, 114.43094383043946 30.615685318418933, 114.43092075845199 30.615936881560256, 114.4309207409756 30.61613710019338, 114.43094375921662 30.616501286775016, 114.43110400124115 30.617723630663548, 114.43130330313721 30.619253007969306, 114.43145552608755 30.62052301934339, 114.43149359455616 30.620696606218473, 114.43149358323916 30.620826252967124)",40.0,0.0
从友谊大道到珞喻东路,青王路,30.0,"LINESTRING (114.43138734832901 30.620847082350934, 114.43134929169716 30.62054005045954, 114.43118103533536 30.619260519376677, 114.43108088629863 30.618465293019394, 114.43097471967545 30.617727234117915, 114.43083652119549 30.61656410007672, 114.43080648006678 30.616289466689366, 114.43079847486037 30.61615031124541, 114.43079849233729 30.615950092614735, 114.43085265994492 30.615372508317915, 114.43096698416619 30.614497534784157, 114.43099806481258 30.614346942563397, 114.43112037581687 30.613832335356264, 114.43115847314141 30.613668459228464, 114.43124268135327 30.613388300018478, 114.4316627009792 30.612264094331707, 114.4318922607741 30.611660090803944, 114.43220603594403 30.610764437172225, 114.43240452193255 30.610274743444183, 114.43304712258504 30.608517860497106, 114.43327670273997 30.60784719446067, 114.43344512768347 30.607380350620577, 114.43350628646563 30.607163035519402, 114.43365167570764 30.606518826214113, 114.43368180590913 30.605817253488485, 114.43368188071315 30.60495929364988, 114.43368194969305 30.604168106725584, 114.43366693329386 30.603960264565334, 114.43366694177345 30.60386300299259, 114.43372113472935 30.603075701269244, 114.43376628879112 30.60249800194968, 114.43382751575827 30.60150859023359, 114.43389675024146 30.600646940703676, 114.43402720296854 30.598904534503827, 114.43408043883173 30.597608126494777, 114.43411162806517 30.59626210020754, 114.4341347151857 30.59587508793769, 114.43416483670059 30.595280267459383, 114.43432530884157 30.594134673086387, 114.43447073560948 30.593120603094444, 114.43467032149657 30.59174436157957, 114.43468536399767 30.59166051865205, 114.4347926734831 30.5909933522917, 114.43513664395118 30.589142532955968, 114.4355578409246 30.586859109584125, 114.43593291509882 30.58480632261142, 114.43620068576513 30.583340632393565, 114.43634509064185 30.58268882533256, 114.4364072625529 30.58243912610603, 114.43656769766913 30.581901704642416, 114.4366438994382 30.581707409402053, 114.43670506458697 30.58151678684977, 114.4373477932822 30.579704787196846, 114.43932923352348 30.574137111695265, 114.43953581707284 30.57347963323866, 114.43962006586504 30.573092830443464, 114.43970431944159 30.572654446614326, 114.43972741644345 30.57221784873412, 114.43969637896566 30.571733467710256, 114.43961220563452 30.57124908813633, 114.43935264608939 30.570066438681387, 114.43869522669365 30.56724525619194, 114.43839658528434 30.565995864691615, 114.43828937213496 30.565360799104145, 114.43826633541127 30.565120443680676, 114.43826635629478 30.56488022962712, 114.43828944208498 30.56455618695434, 114.43833558407299 30.56424927959952, 114.43842785423608 30.563797507086786, 114.43857325797312 30.563347830086624, 114.43873369833015 30.562922972186033, 114.43883296671902 30.562713427180917, 114.43893223437537 30.56251717778746, 114.43901646041671 30.56236668499978, 114.43916184562018 30.562172519983804, 114.44115117533096 30.559874854047198, 114.4427806563287 30.55808194321352, 114.4435076931674 30.557253974136422, 114.44374435989627 30.55699513785298, 114.44392085719805 30.556818153917877, 114.44427987705936 30.556407021474435, 114.44458575248966 30.556028174096976, 114.4451142677982 30.55544395756628, 114.44862662495643 30.551433970554264, 114.44898571080337 30.551017196760416, 114.44972095222363 30.5501265188846, 114.4498583742761 30.549949483663713, 114.4502796849866 30.54926205519691, 114.45057060197136 30.548692599645126, 114.45423636774616 30.54203327120077, 114.45571323184615 30.53941125488464, 114.45736676731619 30.536410252542904, 114.45830096801417 30.534303741282546, 114.46023064912556 30.53011372502136, 114.46089698851351 30.52858620542362, 114.4622748548139 30.52555610231022, 114.46283381652425 30.52464613630041, 114.46321614555413 30.524229561045598, 114.46568176926623 30.522001350439734, 114.4661102985528 30.521441968044645, 114.46640937421306 30.52098511075637, 114.4667305310888 30.520501622829737, 114.46695233781381 30.520094246017603, 114.46709084353425 30.519823803095196, 114.46725144245099 30.519370477187007, 114.46732070425719 30.51913613701145, 114.46740502497488 30.518829360095165, 114.46746626635135 30.51850912514737, 114.46748133876993 30.51827843767692, 114.46748136234821 30.51800392317749, 114.46748138871678 30.51769691870845, 114.46748140558871 30.517500479785312, 114.46745834737276 30.517239198679345, 114.46742023281634 30.51702176330421, 114.46734399169202 30.51672794878204, 114.4670530595263 30.51576236409356, 114.46696879226484 30.515455132378793, 114.46580508132519 30.511653685484134)",40.0,32.25806451612903
从高新二路到森林大道,光谷三路,45.0,"LINESTRING (114.4758918999676 30.478087630967675, 114.47589189508106 30.47814481544025, 114.47586829841096 30.48413790421342, 114.47586817600856 30.485569905771687, 114.47579881977006 30.48677287193452, 114.47567627542588 30.487901406037377, 114.47538507997743 30.489443142297514, 114.47533185966226 30.489748104657213, 114.47527864640305 30.48997109019942, 114.47511699714532 30.49066853300126, 114.4748951243095 30.491419189656053, 114.47451263476087 30.492558280616244, 114.47428274416019 30.493202145922847, 114.47401471526376 30.49385550126511, 114.47379989265805 30.494365848511936, 114.47353187193352 30.494950525068003, 114.473225714831 30.49553309593127, 114.47284226366786 30.496313794002603, 114.47250600140082 30.49690398130544, 114.472191826032 30.497431350184993, 114.47144103572647 30.49856562897687, 114.47091308551549 30.499302149753724, 114.47044535759616 30.500012049217887, 114.46951896284925 30.501252736974894, 114.46933529135687 30.501505859315728, 114.46899806253244 30.501945407749517, 114.46814094674227 30.503108131187595, 114.4672908727162 30.50426508940963, 114.46646390034222 30.505368839641623, 114.46612668590596 30.505901879110716, 114.46591290839176 30.506345576289764, 114.4657131801626 30.50679311051855, 114.46553753134621 30.50729409333831, 114.46536186412297 30.508018209395416, 114.46531567475313 30.50837278010854, 114.46526947773818 30.50881692368369, 114.4652694462782 30.509183012997568, 114.46529951594552 30.50957777326058, 114.46534563860064 30.50999936781189, 114.46536169273158 30.510012706334056, 114.465429897563 30.51036378075364, 114.46556031239543 30.51076830410899, 114.46569775074882 30.511186242285405, 114.46585124913706 30.511556637965086, 114.4658582665273 30.511636732245748)",40.0,-10.869565217391305
